City,City_Address,Meetup,Private League1,Private League2,Avg Rent - Office,Avg Rent - Industrial,Avg Rent - Retail
Aliso Viejo,No,,"Elite Soccer League; 26895 Aliso Creek Rd b249, Aliso Viejo, CA 92656",,n/a,n/a,n/a
Anaheim,"2271 W.Crescent Avenue, Anaheim, CA 92801",,PLA Sports; 627 S. HARBOR BLVD ANAHEIM CA 92805,,$20.55 ,$11.91 ,$21.82 
Brea,"1 Civic Center Circle, Brea, CA 92821",,"AC Brea; 3333 E Birch St, Brea, CA 92821",,$22.87 ,$9.59 ,n/a
Buena Park,No,,No,,n/a,n/a,n/a
Costa Mesa,No,https://www.meetup.com/TOCA-4s-Futsal-PickUp/events/cmfhqlyzkbpc/,"Soccer 6; 300 Fischer Ave, Costa Mesa, CA",,$23.33 ,n/a,$27.01 
Cypress,No,,No,,n/a,n/a,n/a
Dana Point,No,https://www.meetup.com/Pick-Up-Soccer-South-Orange-County/,No,,$25.23 ,n/a,$29.10 
Fountain Valley,"16400 Brookhurst, Fountain Valley, CA 92708",,No,,$19.20 ,n/a,n/a
Fullerton,No,,No,,$19.09 ,n/a,n/a
Garden Grove,No,,"Futsal Picante; 12821 Knott St, Garden Grove, CA",Arena Soccer Parks; 13631 Deodara Street,n/a,n/a,n/a
Huntington Beach,"18100 Goldenwest St, Huntington Beach, CA 92647",https://www.meetup.com/Huntington-Beach-Orange-County-OWFV-Soccer-Club/,"Outbreak Soccer Center; 5555 W McFadden Ave, Huntington Beach, CA",Huntington Beach Sports Complex; 18100 Goldenwest St,$24.30 ,n/a,$25.50 
Irvine,"1 Civic Center Plaza, Irvine, CA 92606",https://www.meetup.com/Irvine-Pick-Up-Soccer/,"Momentous Sports Center; 14522 Myford Rd, Irvine, CA",,$29.36 ,$15.17 ,n/a
La Habra,No,,No,,n/a,n/a,$16.62 
La Palma,No,,No,,n/a,n/a,n/a
Laguna Beach,No,,No,,n/a,n/a,n/a
Laguna Hills,No,,No,,$25.54 ,n/a,n/a
Laguna Niguel,No,,"LNYSA (Adults); 29751 Crown Valley Pkwy, Laguna Niguel, CA 92677","LNFA; 25191 Chapparosa Park Rd, Laguna Niguel, CA 92677",n/a,n/a,n/a
Laguna Woods,No,,No,,n/a,n/a,n/a
Lake Forest,No,,No,,$21.22 ,n/a,n/a
Los Alamitos,"4112 W Cerritos Ave, Los Alamitos, CA 90720",,"Deft Touch Soccer Center; 3842 Catalina St, Los Alamitos",,n/a,n/a,n/a
Mission Viejo,No,,No,,$25.27 ,n/a,$27.87 
Newport Beach,"3010 La Vida, Newport Beach, CA, US 92660",,No,,$36.47 ,n/a,n/a
Orange,No,https://www.meetup.com/Meetup-de-free-soccer-in-Orange/events/bxpcxqyzlbcb/,"Arena Soccer Parks; 2190 North Canal Street, Placentia, CA",,$25.20 ,n/a,$20.14 
Placentia,No,,No,,n/a,n/a,n/a
Rancho Santa Margarita,No,https://www.meetup.com/RSM-Arena-Soccer/,No,,$24.10 ,n/a,n/a
San Clemente,"987 Avenidia Vista Hermosa, San Clemente, CA",,No,,n/a,n/a,n/a
San Juan Capistrano,San Juan Capistrano Soccer League,,"Arena Soccer League; 3 Via Positiva, San Juan Capistrano, CA ",,n/a,$12.70 ,n/a
Santa Ana,No,https://www.meetup.com/SoccerPickupGames/events/hwwqdryzkbnc/,,,$19.89 ,$11.29 ,$24.16 
Seal Beach,No,https://www.meetup.com/Long-Beach-CoEd-Soccer/events/npghfryzlbdb/,,,n/a,n/a,$36.80 
Stanton,No,,No,,n/a,n/a,n/a
Tustin,No,,No,,$20.65 ,n/a,n/a
Westminster,No,,No,,n/a,$9.38 ,n/a
Yorba Linda,"4777 Casa Loma Ave, Yorba Linda, CA 92886",,No,,n/a,$10.96 ,n/a
