City,City_Address,Meetup,Private League1,Private League2,Avg Rent - Office,Avg Rent - Industrial,Avg Rent - Retail
Agoura Hills,No,,No,,$23.23 ,n/a,n/a
Alhambra,No,,No,,$25.81 ,$8.65 ,n/a
Arcadia,No,https://www.meetup.com/GoalVistaSports/events/zlxsfryzkbpc/,"Adult Soccer League; W Duarte Rd, Arcadia, CA 91007",,n/a,n/a,n/a
Artesia,No,,No,,n/a,n/a,n/a
Avalon,No,,No,,n/a,n/a,n/a
Azusa,"213 E FOOTHILL BOULEVARD, AZUSA CA 91702 ",,No,,n/a,$8.74 ,n/a
Baldwin Park,No,,No,,n/a,n/a,n/a
Bell Gardens,"8000 Park Ln, Bell Gardens, CA 90201",,No,,n/a,$8.72 ,n/a
Bellflower,No,,"Pacific Stars Soccer League; Artesia Blvd, Bellflower, CA 90706",,n/a,n/a,n/a
Beverly Hills,"241 S Moreno Dr, Beverly Hills, CA 90212",,No,,$55.68 ,n/a,n/a
Burbank,No,,"YMCA; 321 E Magnolia Blvd, Burbank, CA 91502",,$31.82 ,n/a,n/a
Calabasas,No,https://www.meetup.com/DirectkixSoccer/,"So Cal Futbol Assoc.; 22855 Mulholland Hwy, Calabasas, CA 91302",,$28.00 ,n/a,n/a
Carson,No,,No,,n/a,n/a,n/a
Cerritos,No,,"Cerritos Korean SC; 19900 Bloomfield Ave, Cerritos, CA 90703",,$26.83 ,n/a,$20.89 
Claremont,No,,"Claremont Adult Soccer League; 1800 Woodbend Dr., Claremont, CA 91711",,n/a,n/a,n/a
Commerce,No,,No,,$22.73 ,$9.57 ,$19.52 
Compton,No,,No,,$12.98 ,n/a,n/a
Covina,No,,"Goals Soccer Centers; 699 S Barranca Ave, Covina, CA",,$19.15 ,$7.34 ,$16.48 
Culver City,No,,No,,$33.76 ,n/a,n/a
Diamond Bar,No,https://www.meetup.com/Walnut-Pick-Up-Soccer-Meetup-Group/events/wfdtcryzlbgb/,No,,$25.39 ,n/a,n/a
Downey,No,,"Unimex Soccer League; 13649 Earnshaw Ave, Downey, CA 90242",,n/a,n/a,n/a
Duarte,No,,"Duarte Soccer League; 733 Euclid Avenue, Duarte, CA",,$17.52 ,$6.90 ,n/a
El Monte,No,,No,,n/a,n/a,$20.67 
El Segundo,"2201 E Mariposa Ave, El Segundo, CA 90245",https://www.meetup.com/South-Bay-Tuesday-Soccer-Meetup/events/kxrcqqyzkbnc/,,,$31.72 ,n/a,$44.91 
Gardena,No,,"LGK Soccer; 840 W 149th St, Gardena, CA 90247",,n/a,$11.25 ,n/a
Glendale,"501 S. Pacific Ave. Glendale, CA 91204",https://www.meetup.com/Glendale-Pick-Up-Soccer-Meetup/events/swgrvqyzkbpc/,"Adult Soccer League; 2200 Fern Lane, Glendale, CA 91208",,$28.56 ,n/a,$35.76 
Glendora,"1100 S. Valley Center, Glendora, Ca  91740",,No,,$16.95 ,n/a,n/a
Hawaiian Gardens,"21301 Elaine Ave, Hawaiian Gardens, CA 90716",,No,,n/a,n/a,$20.46 
Hawthorne,No,,"Hawthorne Premier Soccer; 4859 W El Segundo Blvd, Hawthorne, CA 90250",,n/a,n/a,n/a
Hermosa Beach,No,,"Outbreak Soccer Center; 5555 W McFadden Ave, Huntington Beach, CA 92649",,n/a,n/a,n/a
Huntington Park,No,https://www.meetup.com/OCLionsFC/,No,,n/a,n/a,n/a
"Industry, City of",No,,No,,n/a,n/a,n/a
Inglewood,No,,"Inglewood Soccer League; Inglewood, CA",,n/a,n/a,$22.09 
Irwindale,No,,"Major Soccer League Premier; 10929 Prairie Ave, Irwindale, CA",,n/a,n/a,n/a
La Cañada Flintridge,No,,No,,n/a,n/a,n/a
La Mirada,No,,No,,n/a,n/a,n/a
La Puente,No,,No,,$26.58 ,$7.86 ,n/a
La Verne,"1499 Palomares Avenue, La Verne, CA",,No,,n/a,n/a,n/a
La Habra Heights,"1211 Fahringer Way, La Habra, CA 90631",,No,,n/a,n/a,$16.62 
Lakewood,No,,"YMCA; 5835 E Carson St, Lakewood, CA 90713",,$20.74 ,n/a,n/a
Lancaster,No,,No,,n/a,$8.70 ,$17.65 
Lawndale,No,,No,,n/a,n/a,n/a
Lomita,"24428 Eshelman Ave., Lomita, CA 90717",,No,,n/a,n/a,$24.31 
Long Beach,"6255 De Forest Ave, Long Beach, CA 90805",https://www.meetup.com/Long-Beach-CoEd-Soccer/,"Volitude Beach Soccer; 1 Granada Ave, Long Beach, CA 90803",,$22.62 ,$8.61 ,$21.48 
Los Angeles,"3900 W. Chevy Chase Dr., Los Angeles, CA 90039",https://www.meetup.com/LASportsNet-Hollywood-Coed-Social-Sports/events/263293802/,"UrbanFutsal LA; 352 N Ave 21, Los Angeles, CA",LA Futebol Indoor Soccer Facility; 1029 W Washington Blvd,$27.38 ,$14.02 ,$32.01 
Lynwood,No,,No,,$23.79 ,n/a,n/a
Malibu,No,,No,,$46.36 ,n/a,n/a
Manhattan Beach,"1300 Parkview Avenue, Manhattan Beach, CA 90266",,South Bay Peninsula Soccer; N Redondo Ave at 18th Street Manhattan Beach CA,,n/a,n/a,n/a
Monrovia,No,,"AYSO ADULT LEAGUE; 5043, Monrovia, CA",,n/a,n/a,$25.68 
Montebello,No,,No,,n/a,n/a,n/a
Monterey Park,No,,No,,n/a,n/a,n/a
Norwalk,No,https://www.meetup.com/Norwalk-Urban-5-Soccer-Meetup/events/gtlbfmyzkbnc/,"Urban Soccer 5; 12000 Firestone Blvd, Norwalk, CA",,n/a,n/a,n/a
Palmdale,No,,No,,$14.72 ,n/a,n/a
Palos Verdes Estates,No,,"South Bay Peninsula Soccer; 600 Cloyden Rd., Palos Verdes Estates, CA",,n/a,n/a,n/a
Paramount,"14400 Paramount Blvd, Paramount, CA 90723",,No,,$16.38 ,n/a,n/a
Pasadena,"363 E. Villa St., Pasadena, CA, 91101",https://www.meetup.com/soccer-pasadena/,"Adult Soccer League; 1081 N Fair Oaks, Pasadena, CA",,$30.36 ,n/a,$33.44 
Pico Rivera,No,,No,,n/a,n/a,n/a
Pomona,No,,"Pomona Adult Soccer League; 2255 S Garey Ave, Pomona, CA 91766","Goals Pomona; 2255 S. Garey Avenue, Pomona, CA 91766",$21.15 ,$8.04 ,$16.90 
Redondo Beach,No,,No,,n/a,n/a,n/a
Rosemead,No,,No,,$23.67 ,n/a,n/a
San Dimas,No,,No,,n/a,n/a,n/a
San Fernando,No,https://www.meetup.com/Coed-Soccer-Fanatics/events/ckxzdryzlbfb/,No,,n/a,n/a,n/a
San Gabriel,No,,No,,n/a,n/a,n/a
San Marino,No,,No,,$24.84 ,n/a,n/a
Santa Clarita,No,,"Santa Clarita Soccer Center; 25385 Rye Canyon Road, Valencia, CA 91355",,n/a,n/a,$21.97 
Santa Fe Springs,No,,"Santa Fe Springs Soccer League; Santa Fe Springs, CA",,n/a,$9.26 ,n/a
Santa Monica,"1401 Olympic Blvd, Santa Monica, CA",https://www.meetup.com/SMCOED/events/ldwqbryzlbcb/,"Santa Monica Adult Soccer League; 1401 Olympic Blvd, Santa Monica, CA",,$48.74 ,n/a,n/a
Signal Hill,No,https://www.meetup.com/outbreaksoccer/,No,,n/a,n/a,n/a
South El Monte,No,,"Indoor Soccer Center; 2708 Chico Ave, South El Monte, CA 91733",,$15.72 ,n/a,$22.16 
South Gate,No,,"Goals Soccer Centers; 9599 Pinehurst Ave, South Gate, CA",,n/a,n/a,n/a
South Pasadena,No,https://www.meetup.com/The-Pasadena-FC-Soccer-Club/events/lmdccryzlbhb/,No,,n/a,n/a,n/a
Temple City,No,,No,,n/a,n/a,n/a
Torrance,No,,"LA Galaxy Soccer Center; 540 Maple Ave, Torrance, CA","LGK Soccer; 555 MAPLE AVE. TORRANCE, CA, 90503",$25.58 ,$12.57 ,n/a
Vernon,No,,No,,n/a,n/a,n/a
Walnut,No,https://www.meetup.com/Wal-nuts-FC-Adult-Coed-Pickup-Soccer-Meetup/events/tsdrdryzkbpc/,No,,$17.36 ,n/a,n/a
West Covina,No,,"Big League Dreams; 2100 S Azusa Ave, West Covina, CA 91792",,$20.72 ,n/a,n/a
West Hollywood,No,,No,,$45.62 ,n/a,n/a
Westlake Village,"4801 Borchard Road, Newbury Park, CA 91320",,No,,n/a,n/a,n/a
Whittier,No,,"Whittier National Soccer League; 14074 Lambert Rd, Whittier, CA 90605",,$19.97 ,n/a,n/a
Woodland Hills,No,https://www.meetup.com/Woodland-Hills-Soccer-Meetup/events/lmrklqyzlbgb/,"Woodland Hills Indoor; 21320 Oxnard Street, Woodland Hills, CA 91367",,n/a,n/a,n/a
