City,PUMAs
Aliso Viejo,[5903]
Anaheim,"[5909, 5910]"
Brea,[5906]
Buena Park,[5908]
Costa Mesa,[5918]
Cypress,[5908]
Dana Point,[5901]
Fountain Valley,[5918]
Fullerton,[5907]
Garden Grove,"[5912, 5913]"
Huntington Beach,[5914]
Irvine,"[5904, 5905]"
La Habra,"[3714, 5906]"
La Palma,[3764]
Laguna Beach,[5901]
Laguna Hills,[5903]
Laguna Niguel,[5901]
Laguna Woods,[5901]
Lake Forest,[5905]
Los Alamitos,[5908]
Mission Viejo,[5902]
Newport Beach,[5903]
Orange,[5911]
Placentia,[5907]
Rancho Santa Margarita,"[5902, 5915]"
San Clemente,[5901]
San Juan Capistrano,[5901]
Santa Ana,"[5916, 5917]"
Seal Beach,[5908]
Stanton,[5912]
Tustin,"[5904, 5905]"
Westminster,[5912]
Yorba Linda,[5906]
Agoura Hills,[3726]
Alhambra,[3736]
Arcadia,[3717]
Artesia,[3764]
Avalon,[5903]
Azusa,[3710]
Baldwin Park,[3710]
Bell Gardens,[3741]
Bellflower,[3756]
Beverly Hills,[3731]
Burbank,[3720]
Calabasas,[3726]
Carson,[3762]
Cerritos,[3764]
Claremont,[3711]
Commerce,[3741]
Compton,[3757]
Covina,"[3713, 3715]"
Culver City,[3748]
Diamond Bar,[3714]
Downey,[3753]
Duarte,[3710]
El Monte,[3738]
El Segundo,[3759]
Gardena,[3758]
Glendale,[3719]
Glendora,[3711]
Hawaiian Gardens,[3764]
Hawthorne,[3759]
Hermosa Beach,[3760]
Huntington Park,[3742]
Industry,[3716]
Inglewood,[3749]
Irwindale,[3710]
La Canada Flintridge,[3719]
La Mirada,[3754]
La Puente,[3716]
La Verne,[3711]
La Habra Heights,[3714]
Lakewood,[3764]
Lancaster,[3703]
Lawndale,[3758]
Lomita,[3761]
Long Beach,"[3763, 3765, 3766, 3769]"
Los Angeles,"[3705, 3706, 3708, 3721, 3722, 3723, 3724, 3725, 3727, 3729, 3730, 3732, 3733, 3734, 3735, 3744, 3745, 3746, 3747, 3750, 3751, 3767]"
Lynwood,[3752]
Malibu,[3726]
Manhattan Beach,[3760]
Monrovia,[3717]
Montebello,[3740]
Monterey Park,[3737]
Norwalk,[3755]
Palmdale,[3704]
Palos Verdes,[3768]
Paramount,[3756]
Pasadena,"[3718, 3736]"
Pico Rivera,[3740]
Pomona,[3712]
Redondo Beach,[3760]
Rosemead,[3737]
San Dimas,[3711]
San Fernando,[3707]
San Gabriel,"[3709, 3717]"
San Marino,"[3709, 3717]"
Santa Clarita,[3702]
Santa Fe Springs,[3754]
Santa Monica,[3728]
Signal Hill,[3769]
South El Monte,[3738]
South Gate,[3752]
South Pasadena,[3736]
Temple City,[3717]
Torrance,[3761]
Vernon,[3745]
Walnut,"[3713, 3742]"
West Covina,[3715]
West Hollywood,[3731]
Westlake Village,[3726]
Whittier,[3739]
Woodland Hills,[3725]
