City,Median_Age,Median_Income,Normalized_Income,Male_Percent,Hispanic_Percent,Avg Rent - Office,Avg Rent - Industrial,Avg Rent - Retail,Soccer_Activity
Aliso Viejo,46.0,40000.0,0.76,0.47,0.14,0.0,0.0,0.0,0.0
Anaheim,34.0,20000.0,0.22,0.51,0.55,20.55,11.91,21.82,2.0
Brea,39.0,31800.0,0.54,0.5,0.34,22.87,9.59,0.0,2.0
Buena Park,41.0,24000.0,0.33,0.49,0.28,0.0,0.0,0.0,0.0
Costa Mesa,36.0,30000.0,0.49,0.5,0.28,23.33,0.0,27.01,1.0
Cypress,41.0,24000.0,0.33,0.49,0.28,0.0,0.0,0.0,0.0
Dana Point,48.0,35000.0,0.62,0.5,0.19,25.23,0.0,29.1,1.0
Fountain Valley,36.0,30000.0,0.49,0.5,0.28,19.2,0.0,0.0,2.0
Fullerton,35.0,23000.0,0.3,0.51,0.45,19.09,0.0,0.0,0.0
Garden Grove,38.0,17000.0,0.14,0.48,0.32,0.0,0.0,0.0,0.0
Huntington Beach,42.0,31200.0,0.52,0.5,0.19,24.3,0.0,25.5,3.0
Irvine,35.0,30000.0,0.49,0.49,0.19,29.36,15.17,0.0,3.0
La Habra,40.0,29000.0,0.46,0.5,0.29,0.0,0.0,16.62,0.0
La Palma,39.0,24000.0,0.33,0.48,0.32,0.0,0.0,0.0,0.0
Laguna Beach,48.0,35000.0,0.62,0.5,0.19,0.0,0.0,0.0,0.0
Laguna Hills,46.0,40000.0,0.76,0.47,0.14,25.54,0.0,0.0,0.0
Laguna Niguel,48.0,35000.0,0.62,0.5,0.19,0.0,0.0,0.0,0.0
Laguna Woods,48.0,35000.0,0.62,0.5,0.19,0.0,0.0,0.0,0.0
Lake Forest,37.0,31100.0,0.52,0.48,0.28,21.22,0.0,0.0,0.0
Los Alamitos,41.0,24000.0,0.33,0.49,0.28,0.0,0.0,0.0,2.0
Mission Viejo,43.0,32000.0,0.54,0.49,0.18,25.27,0.0,27.87,0.0
Newport Beach,46.0,40000.0,0.76,0.47,0.14,36.47,0.0,0.0,2.0
Orange,35.0,27500.0,0.42,0.49,0.4,25.2,0.0,20.14,1.0
Placentia,35.0,23000.0,0.3,0.51,0.45,0.0,0.0,0.0,0.0
Rancho Santa Margarita,41.0,39700.0,0.75,0.48,0.17,24.1,0.0,0.0,1.0
San Clemente,48.0,35000.0,0.62,0.5,0.19,0.0,0.0,0.0,2.0
San Juan Capistrano,48.0,35000.0,0.62,0.5,0.19,0.0,12.7,0.0,2.0
Santa Ana,32.0,18700.0,0.19,0.51,0.77,19.89,11.29,24.16,1.0
Seal Beach,41.0,24000.0,0.33,0.49,0.28,0.0,0.0,36.8,1.0
Stanton,39.0,17100.0,0.14,0.47,0.31,0.0,0.0,0.0,0.0
Tustin,35.0,30000.0,0.49,0.49,0.19,20.65,0.0,0.0,0.0
Westminster,39.0,17100.0,0.14,0.47,0.31,0.0,9.38,0.0,0.0
Yorba Linda,39.0,31800.0,0.54,0.5,0.34,0.0,10.96,0.0,2.0
Agoura Hills,46.0,36000.0,0.65,0.47,0.09,23.23,0.0,0.0,0.0
Alhambra,40.0,23700.0,0.32,0.49,0.32,25.81,8.65,0.0,0.0
Arcadia,40.0,23900.0,0.33,0.49,0.23,0.0,0.0,0.0,1.0
Artesia,39.0,24000.0,0.33,0.48,0.32,0.0,0.0,0.0,0.0
Avalon,46.0,40000.0,0.76,0.47,0.14,0.0,0.0,0.0,0.0
Azusa,35.0,19000.0,0.19,0.47,0.64,0.0,8.74,0.0,2.0
Baldwin Park,35.0,19000.0,0.19,0.47,0.64,0.0,0.0,0.0,0.0
Bell Gardens,30.0,13800.0,0.05,0.5,0.96,0.0,8.72,0.0,2.0
Bellflower,32.0,17000.0,0.14,0.5,0.66,0.0,0.0,0.0,0.0
Beverly Hills,42.0,41100.0,0.79,0.53,0.1,55.68,0.0,0.0,2.0
Burbank,39.0,28000.0,0.44,0.48,0.22,31.82,0.0,0.0,0.0
Calabasas,46.0,36000.0,0.65,0.47,0.09,28.0,0.0,0.0,1.0
Carson,40.0,20000.0,0.22,0.47,0.4,0.0,0.0,0.0,0.0
Cerritos,39.0,24000.0,0.33,0.48,0.32,26.83,0.0,20.89,0.0
Claremont,41.0,29200.0,0.47,0.47,0.34,0.0,0.0,0.0,0.0
Commerce,30.0,13800.0,0.05,0.5,0.96,22.73,9.57,19.52,0.0
Compton,30.0,16000.0,0.11,0.49,0.67,12.98,0.0,0.0,0.0
Covina,38.0,21000.0,0.25,0.49,0.54,19.15,7.34,16.48,0.0
Culver City,37.0,45000.0,0.89,0.49,0.19,33.76,0.0,0.0,0.0
Diamond Bar,40.0,22700.0,0.29,0.49,0.2,25.39,0.0,0.0,1.0
Downey,34.0,24000.0,0.33,0.49,0.77,0.0,0.0,0.0,0.0
Duarte,35.0,19000.0,0.19,0.47,0.64,17.52,6.9,0.0,0.0
El Monte,33.0,14000.0,0.06,0.51,0.69,0.0,0.0,20.67,0.0
El Segundo,32.0,21000.0,0.25,0.51,0.58,31.72,0.0,44.91,3.0
Gardena,37.0,18000.0,0.17,0.49,0.5,0.0,11.25,0.0,0.0
Glendale,43.0,16600.0,0.13,0.46,0.17,28.56,0.0,35.76,3.0
